Hypothesis,Ground Truth,Response
चज बार बार होते रहती है पहले सक्शन वर खुलता है फिर डिलीवरी फिर सक्शन फिर डिलीवरी और ऐसे करते करते पूरा बलून फूल ह,चीज बारबार होते रहती हैं पहले सेक्शन वॉल्व खुलता है फिर डिलीवरी फिर सक्शन फिर डिलीवरी और ऐसे करते करते पूरा बलून फूल,"चज बार-बार होते रहते हैं। पहले सक्शनवर खुलता है, फिर डिलीवरी, फिर सक्शन, फिर डिलीवरी, और ऐसे करते-करते पूरा बलून फूल जाता है।"
ज्यादा है,जाता है,ज्यादा है
अगर हम सिर्फ डिलीवरी वॉल रखें और सक्शन वॉल को हटा दें तो दबाने पर हवा यहां से ही बाहर निकल जाएगा,अगर हम सिर्फ डिलीवरी वॉल्व रखें और सक्शन वॉल्व को हटा दें तो दबाने पर हवा यहां से ही बाहर निकल जाएगा,अगर हम सिर्फ डिलीवरी वाल रखें और सक्शन वाल को हटा दें तो दबाने पर हवा यहां से ही बाहर निकल जाएगी।
और बलून फूल नहीं पाएगा इसका उल्टा अगर हम डिलीवरी वॉल को हटा दें और सिर्फ सक्शन वाल रखें तो दवाने पर हवा,और बलून फूल नहीं पाएगा इसका उल्टा अगर हम डिलीवरी वॉल्व को हटा दें और सिर्फ सक्शन वाल रखें तो दबाने पर हवा,और बलून फूल नहीं पाएगा। इसका उल्टा अगर हम डिलीवरी वाल को हटा दें और सिर्फ सक्शन वाल रखें तो दवाने पर हवा।
अब बलून में तो चले जाएगा लेकिन छोड़ने पर वही हवा वापस ट्यूब में आ जाएगा,बलून में तो चले जाएगा लेकिन छोड़ने पर वही हवा वापस ट्यूब में आ जाएगा,अब बलून में तो चला जाएगा लेकिन छोड़ने पर वही हवा वापस ट्यूब में आ जाएगी।
तो हमारे इस पंप में दो वॉल् जरूरी है,तो हमारे इस पंप में दो वॉल्व जरूरी है,तो हमारे इस पंप में दो वॉल्स जरूरी हैं।
हमारे आसपास कई सारे पंप्स है हैंड पंप् साइकिल पंप वाटर पंप कूलर पंप लेकिन एक पंप ऐसा है जिसके बिना हम,हमारे आस पास कई सारे पंप्स हैं हैंड पंप साइकिल पंप वाटरपंप कूलर पंप लेकिन एक पंप ऐसा है जिसके बिना हम,"हमारे आसपास कई सारे पंप्स हैं: हैंड पंप, साइकिल पंप, वाटर पंप, कूलर पंप, लेकिन एक पंप ऐसा है, जिसके बिना हम"
जी ही नहीं सकते और वो है हमारा ऋृतय,जी ही नहीं सकते और वो है हमारा हृदय,जी ही नहीं सकते और वो है हमारा ऋतय
हमारे शरीर में सेल्स या कोशिकाओं को ऊर्जा बनाने के लिए ऑक्सीजन की जरूरत पड़ती हैऊर्जा बनाने के बाद,हमारे शरीर में सेल्स या कोशिकाओं को ऊर्जा बनाने के लिए ऑक्सीजन की जरूरत पड़ती है ऊर्जा बनाने के बाद,हमारे शरीर में सेल्स या कोशिकाओं को ऊर्जा बनाने के लिए ऑक्सीजन की जरूरत पड़ती है। ऊर्जा बनाने के बाद
ये कार्बन डाइयऑक्साइड रिलीज करती है,ये कार्बन डाय ऑक्साइड रिलीज़ करती है,ये कार्बन डाइऑक्साइड रिलीज़ करती है।
सेलस तक ऑक्सीजन देने का काम और उनसे कार्बन डाइयऑक्साइड लेने का काम खून करता है,सेल्स तक ऑक्सीजन देने का काम और उनसे कार्बन डाय ऑक्साइड लेने का काम खून करता है,सेल्स तक ऑक्सीजन देने का काम और उनसे कार्बन डाइऑक्साइड लेने का काम खून करता है।
लेकिन ऑक्सीजन तो लंग्स या फेफड़ों में मिलता है तो खून को लंग्स के पास ऑक्सीजन लेने के लिए हमारा,लेकिन ऑक्सीजन तो लंग्स या फेफड़ों में मिलता है तो खून को लंग्स के पास ऑक्सीजन लेने के लिए हमारा,"लेकिन ऑक्सीजन तो लंग्स या फेफड़ों में मिलता है, तो खून को लंग्स के पास ऑक्सीजन लेने के लिए हमारा"
हृृदय भेजता है और लंग्स में जब खून ऑक्सीजन से युक्त हो जाता है तो इसे पूरे सेल्स के पास,हृदय भेजता है और लंग्स में जब खून ऑक्सीजन से युक्त हो जाता है तो इसे पूरे सेल्स के पास,हृदय भेजता है और लंग्स में जब खून ऑक्सीजन से युक्त हो जाता है तो इसे पूरे सेल्स के पास भेजता है।
खून लंग्स तक भेजता है और लंग से ऑक्सीजन युक्त खून पूरी बॉडी तक हमारे हऋदय के दो सेक्शन हैं एक दाया,खून लंग्स तक भेजता है और लंग से ऑक्सीजन युक्त खून पूरी बॉडी तक हमारे हृदय के दो सेक्शन है एक दाया,"खून लंग्स तक भेजता है और लंग्स से ऑक्सीजन युक्त खून पूरी बॉडी तक हमारे हृदय के दो सेक्शन हैं, एक दाया"
और एक बाया,और एक बाया,और एक बायां
दोनों सेक्शन एक वॉल् जैसा ही काम करता है तो इस वाले सेक्शन में दो वॉल्स है और इस वाले सेक्शन में,दोनों सेक्शन एक वॉल्व जैसा ही काम करता है तो इस वाले सेक्शन में दो वॉल्वस है और इस वाले सेक्शन में,दोनों सेक्शन एक वॉल जैसा ही काम करता है तो इस वाले सेक्शन में दो वॉल हैं और इस वाले सेक्शन में
दोबा इसलिए हमारे ऋृदय में टोटल चार वोल्स है दाए वाले सेक्शन में पूरे बॉडी का सीओ टू वाला फून,दो वॉल्वस इसलिए हमारे हृदय में टोटल चार वॉल्वस है दाएं वाले सेक्शन में पूरे बॉडी का सीओटू वाला खून इस,दोबा इसलिए हमारे हृदय में टोटल चार वॉल्स हैं दाएं वाले सेक्शन में पूरे बॉडी का सीओ₂ वाला फून।
सक्शन वॉल से होकर अंदर आता है हारट दबकरइस खून को लंग्स के पास भेजता है लंग्स में खून से,सक्शन वॉल्व से होकर अंदर आता है हार्ट दबकर इस खून को लंग्स के पास भेजता है लंग्स में खून से,सक्शन वॉल से होकर अंदर आता है हार्ट दबकर इस खून को लंग्स के पास भेजता है लंग्स में खून से
कार्बन डायऑक्साइड निकल जाता है और उसमें ऑक्सीजन भर जाता है,कार्बन डाय ऑक्साइड निकल जाता है और उसमें ऑक्सीजन भर जाता है,कार्बन डायऑक्साइड निकल जाता है और उसमें ऑक्सीजन भर जाता है।
फिर ये ऑक्सीजन युक्त खोन बाई वाले सेक्शन में इस सक्शन वॉल से अंदर आ जाता है हाट फिर,फिर ये ऑक्सीजन युक्त खून बाएं वाले सेक्शन में इस सक्शन वॉल्व से अंदर आ जाता है हार्ट फिर से,फिर ये ऑक्सीजन युक्त खून बाई वाले सेक्शन में इस सक्शन वॉल से अंदर आ जाता है।
दबकर इसे पूरे बॉडी में पहुंचा देता है,दबकर इसे पूरे बॉडी में पहुंचा देता है,दबाकर इसे पूरे शरीर में पहुंचा देता है।
ये पूरी प्रक्रिया एक साथ साइड बाई साइड चलती रहती हैबलून पंप के केस में तो दबाने और छोड़ने का काम हमारे,ये पूरी प्रक्रिया एक साथ साइड बाइ साइड चलते रहती हैं बलून पंप के केस में तो दबाने और छोड़ने का काम हमारे,ये पूरी प्रक्रिया एक साथ साइड बाई साइड चलती रहती है। बलून पंप के केस में तो दबाने और छोड़ने का काम हमारे
ात करते हैं लेकिन ऋृदय के केस में दबने और छोड़ने का काम हमारे ऋृदय के मसूस करते हैंतो,हाथ करते हैं लेकिन हृदय के केस में दबने और छोड़ने का काम हमारे हृदय के मसल्स करते हैं तो,आत्मा करते हैं लेकिन हृदय के केस में दबने और छोड़ने का काम हमारे हृदय के महसूस करते हैं तो
हमारा दिल ढगदक करता रहे इसलिए हमें रोज कसरत करनी चाहिए और सेहतमंद खाना चाहिए तो एक्ससाइज करते रहे,हमारा दिल धकधक करता रहे इसलिए हमें रोज़ कसरत करनी चाहिए और सेहतमंद खाना चाहिए तो एक्सरसाइज़ करते रहें दिल,"हमारा दिल धड़कता रहे इसलिए हमें रोज कसरत करनी चाहिए और सेहतमंद खाना चाहिए, तो एक्सरसाइज करते रहें।"
आपस में रियाप्त होके कारबन डायऑक्साइड और कई गैसेज बनाते हैं और साथ में बहुत सारी एनर्जी भी रिलीज करतें,आपस में रिऍक्ट होके कार्बन डाय ऑक्साइड और कई गैसेज बनाते हैं और साथ में बहुत सारी एनर्जी भी रिलीज करते,आपस में रिएक्ट होकर कार्बन डाइऑक्साइड और कई गैसें बनाते हैं और साथ में बहुत सारी ऊर्जा भी रिलीज करते हैं।
हमारे आसपास जो भी चीजें चलती हुई नजर आती है उन सब का कंबैरशन हवा में मौजूद ऑक्सीजन ह,हैं हमारे आसपास जो भी चीजें जलती हुई नजर आती हैं उन सब का कंबशन हवा में मौजूद ऑक्सीजन,"हमारे आसपास जो भी चीजें चलती हुई नजर आती हैं, उन सब का कंबिनेशन हवा में मौजूद ऑक्सीजन है।"
इके कारण तापटाकों में भी यही रिएक्शन होती है लेकिन अगर पटाकों का कंबाशन सिर्फ हवा में मिले,के कारण होता है पटाकों में भी यही रिएक्शन होती है लेकिन अगर पटाखों का कंबशन सिर्फ हवा में मिले,इके कारण पटाखों में भी यही रिएक्शन होती है लेकिन अगर पटाखों का कंबाइनशन सिर्फ हवा में मिले
ऑक्सीजंट से होता तो उनका मजा ही चला जाा जिस तेजी से पटाका फूटता है उसके लिए रिएक्शन तुरंत होना,ऑक्सीजन से होता तो उनका मजा ही चला जाता जिस तेजी से पटाका फूटता है उसके लिए रिएक्शन तुरंत होना,"ऑक्सीजन से होता तो उनका मजा ही चला जाता। जिस तेजी से पटाखा फूटता है, उसके लिए रिएक्शन तुरंत होना चाहिए।"
जरूरी हऔर बहुत सारा ऑक्सीजन कम समय में मिलना आवश्यक है इसीलिए पटाको में पोटैशियम नाइट्रेट जैसे ऑक्सीडाइजिंग एजेंटस,जरूरी है और बहुत सारा ऑक्सीजन कम समय में मिलना आवश्यक है इसीलिए पटाकों में पोटैशियम नाइट्रेट जैसे ऑक्सीडाइजिंग एजेंट्स,"जरूरी है और बहुत सारा ऑक्सीजन कम समय में मिलना आवश्यक है, इसी लिए पटाखों में पोटैशियम नाइट्रेट जैसे ऑक्सीडाइजिंग एजेंट्स।"
इसको डाला जातातो हम ऐसा कह सकते हैं कि पटाकों को जलने के लिए हवा में मौजूद ऑक्सीजन क,को डाला जाता तो हम ऐसा कह सकते हैं कि पटाकों को जलने के लिए हवा में मौजूद ऑक्सीजन की,इसको डाला जाता तो हम ऐसा कह सकते हैं कि पटाकों को जलने के लिए हवा में मौजूद ऑक्सीजन की जरूरत होती है।
उस पटाके को ऊपर की और धक्का देते हैं यहां हम न्यूटिन का थड लॉ देख सकते हैं रॉकेट्स भी इसी तरह अंतरक्,पटाखे को ऊपर की ओर धक्का देते हैं,उस पटाके को ऊपर की ओर धक्का देते हैं। यहां हम न्यूटन का थर्ड लॉ देख सकते हैं। रॉकेट्स भी इसी तरह अंतरक्रिया करते हैं।
कि रॉकेट पे फोर्स सेंटर ऑफ मास पर लगता है और चकरी पर ोर्स सेंटर ऑफ मास की थोड़ी दूर लगता हैऔर,कि रॉकेट पे फोर्स सेंटर ऑफ मास पे लगता है और चखरी पे फोर्स सेंटर ऑफ मास की थोड़ी दूर लगता है और,कि रॉकेट पर फोर्स सेंटर ऑफ मास पर लगता है और चकरी पर फोर्स सेंटर ऑफ मास की थोड़ी दूर लगता है और
टॉलप जनरेट होने के कारण चकरी घूमने लगती है,टॉल्क जेनरेट होने के कारण चकरी घूमने लगती है,टॉलप जनरेट होने के कारण चकरी घूमने लगती है।
कर पातेकि बहुत सीधे ऊपर चा किसी भी कारण अगर रॉकेट थोड़ा भी डेड़ा मेड़ा हो गयातो व,कर पाते कि वह सीधे ऊपर जाए किसी भी कारण अगर रॉकेट थोड़ा भी टेड़ा मेड़ा हो गया तो वह,कर पाते कि बहुत सीधे ऊपर जा किसी भी कारण अगर रॉकेट थोड़ा भी डेढ़ा मेढ़ा हो गया तो व
तो किसी अलग दिशा में चला जा सकता है,किसी अलग दिशा में चला जा सकता है,तो किसी अलग दिशा में चला जा सकता है।
रियल रॉकेट्स में भी यही चीज ध्यान में रखनी पड़ती है,रियल रॉकेट्स में भी यही चीज ध्यान में रखनी पड़ती है,रियल रॉकेट्स में भी यही चीज़ ध्यान में रखनी पड़ती है।
मै सिंस का काम ये डंडी करती है तो डंडी सिर्फ बॉटल में रखने के लिए नहीं होती है,में फिंस का काम ये डंडी करती हैं तो डंडी सिर्फ बॉटल में रखने के लिए नहीं होती है ये,"मैं सिंचाई का काम ये डंडी करती है, तो डंडी सिर्फ बोतल में रखने के लिए नहीं होती है।"
पटाकों को सीधे आसमान में भी लेके जाती है तो डंडी को छोटा करने से रॉकेट की स्टेबलिटी भी कम है,पटाकों को सीधे आसमान में भी लेते जाती तो डंडी को छोटा करने से रॉकेट की स्टेबलिटी भी कम हो,पटाखों को सीधे आसमान में भी ले जाकर जाती है तो डंडी को छोटा करने से रॉकेट की स्थिरता भी कम होती है।
एनर्जी एब्जॉर्ब करते हैं तो वो उस लेवल से हायर लर्न पर जा सकते हैं और वापस आने पर लाइट के,एनर्जी अब्जॉर्ब करते हैं तो वो उस लेवल से हायरलेवल पर जा सकते हैं और वापस आने पर लाइट के,एनर्जी एब्जॉर्ब करते हैं तो वो उस लेवल से हाईर लर्न पर जा सकते हैं और वापस आने पर लाइट के
इसफॉर्म में एनर्जी रिलीज करतके ह एलिमेंट्स की सिर्फ सलाइड को देखकर हम उन्हें पहचान सकते हैं इस तकनीक को स्पेक्टरस को,फॉर्म में एनर्जी रिलीज करते हैं एलिमेंट्स की सिर्फ स्लाइट को देखकर हम उन्हें पहचान सकते हैं इस तकनीको स्पेक्टरोस्कोपी,इस फ़ॉर्म में एनर्जी रिलीज करते हुए एलिमेंट्स की सिर्फ स्लाइड को देखकर हम उन्हें पहचान सकते हैं। इस तकनीक को स्पेक्ट्रम कहते हैं।
और कैमिस्ट्री में किए गए फ्लेमट्स भी इसी सिद्धांत पर काम करते ह मेटल् की रोशनी हम आसा ह,कहते हैं और कैमिस्ट्री में किए गए फ्लेमटस भी इसी सिद्धांत पे काम करते है मेटल्स की रोशनी हम आसानी,और कैमिस्ट्री में किए गए फ्लेमट्स भी इसी सिद्धांत पर काम करते हैं। मेटल की रोशनी हम ऐसे देखते हैं।
इसे देख पाते जैसे बेरियम का ग्रीन रंग सोडियम का येलो रंग कैल्शियम का ऑरेंज रंग और पोटैशियम का वायलेट रंग,से देख पाते है जैसे बेरियम का ग्रीन रंग सोडियम का यैलो रंग कैल्शियम का ऑरेंज रंग और पोटैशियम का वायलट रंग,"इसे देख पाते जैसे बेरियम का हरा रंग, सोडियम का पीला रंग, कैल्शियम का नारंगी रंग और पोटैशियम का जामुनी रंग।"
इसलिए रंगबिरंगी पटाको में अलग unk अलग मेडल सॉर्स को डाला जाता ह,होता है इसलिए रंगबिरंगी पटाको में अलग अलग मेडल सौर्स को डाला जाता है,इसलिए रंगबिरंगी पटाखों में अलग-अलग मॉडल्स को डाला जाता है।
आवाज इस सूथली बाम का होताै क्योंकि सूथली को कसके बांदा जाता है,आवाज इस सूतली बांम का होता क्योंकि सूतली को कस के बांधा जाता है,आवाज इस सूथली बाम का होता है क्योंकि सूथली को कसके बांधा जाता है।
यही सूतलि अगर हल्के से बांध है तो इतनी आवाज नहीं आती,यही सूतली अगर हल्के से बांधें तो इतनी आवाज नहीं आती,यही सुतील अगर हल्के से बांधा है तो इतनी आवाज नहीं आती।
तो हम ये कह सकते हैं कि जितना टाइट पटाके को हम बातेंगे उतना बड़ा धमाका होगा,तो हम ये कह सकते हैं कि जितना टाइट पटाके को हम बांधेंगे उतना बड़ा धमाका होगा,तो हम ये कह सकते हैं कि जितना टाइट पटाके को हम बांधेंगे उतना बड़ा धमाका होगा।
आपका गोमा क्याहै,आपका घुमा क्या,आपका गोमा क्या है
हर रविवार ढाई बजे,हर रविवार ढाई बजे,हर रविवार ढाई बजे.
नए नए आप नमूने,नए नाय आप नमूने,नए-नए आप नमूने
जिंदगी में गणित विज्ञान का टेस्टी तड़का,जिंदगी में गणित विज्ञान का टेस्टी तडका,जिंदगी में गणित विज्ञान का टेस्टी तड़का
हाए मैहो सरीता आज हम प्रेशर से जुड़ी कुछ एक्टिविटीज करेंगे और बोटल्स और कैंस को बिना छुए पिछका देंगे,हाय मै हु सरिता आज हम प्रेशर से जुड़ी कुछ एक्टिविटीज करेंगे और बोटल्स और कैच को बिना छुए पिछका देंगे,"हाय मैं हूँ सरीता, आज हम प्रेशर से जुड़ी कुछ एक्टिविटीज करेंगे और बॉटल्स और कैन्स को बिना छुए पिछका देंगे।"
उल्टा कर दें तो पूरा पानी बाहर आ जाता है,उल्टा कर दे तो पूरा पानी बाहर आ जाता है,उल्टा कर दें तो पूरा पानी बाहर आ जाता है
ज्यादा मजा नहीं आएअब बोटल के ढक्कन पर एक छेद करके इस बोटल पर लगा देते हैं,ज्यादा मजा नहीं आ रहा अब बोटल के ढक्कन पर एक छेद करके इस बोटल पर लगा देते है,ज्यादा मजा नहीं आएगा। अब बोटल के ढक्कन पर एक छेद करके इस बोटल पर लगा देते हैं।
और फिर से बोटर को पानी से भरकर उल्टा करके दिखते हैं छेत खुला होने के बाद भी पानीबा हर है,और फिर से बोटल को पानी से भरकर उल्टा करके देखते है छेद खुला होने के बाद भी पानी बाहर,"और फिर से बॉटल को पानी से भरकर उल्टा करके दिखाते हैं, छेद खुला होने के बाद भी पानी बाहर नहीं आता है।"
ीआयाये टुत्पी डालकर भी हम देख सकते हैं कि कछेत खुला ह ोटोथिक बड़े आराम से अंदर,नहीं आया ये टूथपिक डालकर भी हम देख सकते हैं कि छेद खुला है और टूथपिक बढ़े आराम से अंदर,आयाएं टुटपी डालकर भी हम देख सकते हैं कि कक्षेत खुला होता है तो थिक बड़े आराम से अंदर।
पानी बाहर इसलिए नहीं आया क्योंकि जब क्छेत छोटा है तो सर्फेस टेंशन पानी को बाहर नी हा,चली जा रही है पानी बाहर इसलिए नहीं आया क्योंकि जब छेद छोटा है तो सर्फेस टेंशन पानी को बहर नहीं,पानी बाहर इसलिए नहीं आया क्योंकि जब क्षेत्र छोटा है तो सतह तनाव पानी को बाहर नहीं आने देता।
दासरफेस सेंट्रन को हम पानी के सर्फेस फे जिल्ली के जैसे सोच सकते हैं इसी के कारण मच्छ,आने देता सरफेज टेंशन को हम पानी के सरफेस फेक झिल्ली के जैसे सोच सकते हैं इसी के कारण मच्छर,"दासरफेस सेंट्रन को हम पानी के सर्फेस पर जिल्दी के जैसे सोच सकते हैं, इसी के कारण मच्छ"
दूसरे सिरे को नीचे डालेंगे बोटर से पानी निकलना स्टार्ट हो जाता है,दूसरे सिरे को नीचे डालेंगे बोटल से पानी निकलना स्टार्ट हो जाता है,"दूसरे सिरे को नीचे डालेंगे, बोटल से पानी निकलना शुरू हो जाता है।"
और बोटन,और बोटल,और बटन
धीरेधीरे पिचकने लगती है,धीरे धीरे पिचकने लगती है,धीरे-धीरे पिचकने लगती है।
तो जैसे जैसे ऊपर जाते जाएंगे प्रेशर कम होता जाएगा,है तो जैसे जैसे ऊपर जाते जाएंगे प्रेशर कम होता जाएगा,"तो जैसे-जैसे ऊपर जाते जाएंगे, प्रेशर कम होता जाएगा।"
तो जितना लंबा पाइप अटैच करेंगे उतना प्रेशर कम होता जाएगा,तो जितना लंबा पाइप अटैच करेंगे उतना प्रेशर कम होता जाएगा,"तो जितना लंबा पाइप अटैच करेंगे, उतना प्रेशर कम होता जाएगा।"
तो बोटल के अंदर का प्रेशर कम हो गया लेकिन बाहर एटमोसफयरिक प्रेशर उतना ही है इसलिए बोटल पर बाहर,तो बोटल के अंदर का प्रेशर कम हो गया लेकिन बहर एटमोस्फरिक प्रेशर उतना ही है इसलिए बोटल पर बाहर,तो बोतल के अंदर का प्रेशर कम हो गया लेकिन बाहर एटमॉस्फेरिक प्रेशर उतना ही है इसलिए बोतल पर बाहर
से नेट फोर्स लगता है,से नेटफोर्स लगता है,सेनेट फोर्स लगता है
हॉस्पिटल्स में पेशेंट्स को ग्लूकोस की बोटल चड़ाते हुए भी मोटल ऐसी पिचक जाती है पिचकने से बचाने के लिए,हॉस्पिटल्स में पेशेंट्स को ग्लुकोज की बोटल चढ़ाते हुए भी बोटल ऐसे पिचक जाती है पिचकने से बचाने के लिए,"हॉस्पिटल्स में पेशेंट्स को ग्लूकोस की बोटल चढ़ाते हुए भी मोटल ऐसी पिचक जाती है, पिचकने से बचाने के लिए।"
बोटल के ऊपर सुईसे एक छेद कर देते हैं ताकि वहां भी प्रेशर एटमोस्फयरिक प्रेशर के बराबर रहे,बोटल के ऊपर सुई से एक छेद कर देते हैं ताकि वहां भी प्रेशर एटमोस्फरिक प्रेशर के बराबर रहे और,बॉटल के ऊपर सुई से एक छेद कर देते हैं ताकि वहां भी प्रेशर एटमॉस्फेरिक प्रेशर के बराबर रहे।
बोटल न पिचके,बोटल ना पिचके,बॉटल न पिचके
पाइप कनेक्ट करने से प्रेशर कितना कम हुआ ये हम इस प्रेशर गेस से भी देख सकतेहं,पाइप कनेक्ट करने से प्रेशर कितना कम हुआ ये हम इस प्रेशर गेज से भी देख सकते है,"पाइप कनेक्ट करने से प्रेशर कितना कम हुआ, ये हम इस प्रेशर गेज से भी देख सकते हैं।"
गेज पर नंबर्स ये दिखा रहे हैं कि प्रेशर एटमोस्रिक प्रेशर से कितना कम है मतलब प्रेशर जैसे जैसे,गेज पर नंबर्स यह दिखा रहे हैं कि प्रेशर एटमोस्फरिक प्रेशर से कितना कम है मतलब प्रेशर जैसे जैसे,गेज पर नंबर ये दिखा रहे हैं कि प्रेशर एटमॉस्फेरिक प्रेशर से कितना कम है मतलब प्रेशर जैसे-जैसे
कम होता जाएगा इस गेज की रिडिंग बढ़ती जाएगी गेज के साथ ही पाइप अटैच करके अगर एक सिराम जमीन,कम होता जाएगा इस गेज की रिडिंग बढ़ती जाएगी गेज के साथ ही पाइप अटैच करके अगर एक सिरा हम जमीन,कम होता जाएगा इस गेज की रीडिंग बढ़ती जाएगी गेज के साथ ही पाइप अटैच करके अगर एक सिराम जमीन
पर छोड़ दें और इसको लेकर सीडिया चढ़ते जाए तो परेशन कम होता जाएगा चलिए सीढियों के पास चलते हैं,पर छोड़ दें और इसको लेकर सीढियां चढ़ते जाएं तो प्रेशर कम होता जाएगा चलिए सीढ़ियों के पास चलते हैं,पर छोड़ दें और इसको लेकर सीढ़ियाँ चढ़ते जाएँ तो परेशानी कम होती जाएगी। चलिए सीढ़ियों के पास चलते हैं।
थोड़ी ओर लंबी पाइप ले लें तो हम मेटल की चीजों को भी आराम से पिचका सकते हैं,थोड़ी और लम्बी पाइप ले लें तो हम मेटल की चीजों को भी आराम से पिचका सकते हैं,थोड़ी और लंबी पाइप ले लें तो हम मेटल की चीजों को भी आराम से पिचका सकते हैं।
,रख देंगे,
अब जैसे ही पानी उबलने लगे और भाब ऊपर आने लगे,अब जैसे ही पानी उबलने लगें और भाफ ऊपर आने लगे,अब जैसे ही पानी उबलने लगे और भाप ऊपर आने लगी।
कैन को पकड़ कर,कैन को पकड़कर,कैन को पकड़कर
शुरू में कैन के अंदर और बाहर बराबर प्रेशर है पानी को गरम करने पर वो उस टीम में बदल जाता है,शुरू में कैन के अंदर और बाहर बराबर प्रेशर है पानी को गरम करने पर वो स्टीम में बदल जाता,शुरू में कैन के अंदर और बाहर बराबर प्रेशर है। पानी को गरम करने पर वो उस टाइम में बदल जाता है।
तो कैन पूरा स्टीम से भर जाता है और उसके अंदर की हवा बाहर निकल जाती है,है तो कैन पूरा स्टीम से भर जाता है और उसके अंदर की हवा बाहर निकल जाती है,तो कैन पूरा स्टीम से भर जाता है और उसके अंदर की हवा बाहर निकल जाती है।
अब इस भाव से भरे हुए कैन को जब हम थंडे पानी में डालते हैं तो वो स्टीम फिर से लिक्वि,अब इस भाव से भरे हुए कैन को जब हम ठंडे पानी में डालते हैं तो स्टीम फिर से लिक्विड,अब इस भाव से भरे हुए कैन को जब हम ठंडे पानी में डालते हैं तो वो स्टीम फिर से लिक्विड
और बाहर के एटमॉस्फयरिक प्रेशर की वजह से कैन पिचक जाता है अगर कैन को सीधा पानी में डालेंगे त,और बाहार के एटमॉस्फरिक प्रेशर की वजह से कैन पिचक जाता है अगर कैन को सीधा पानी में डालेंगे तो,और बाहर के एटमॉस्फेरिक प्रेशर की वजह से कैन पिचक जाता है अगर कैन को सीधा पानी में डालेंगे तो
नहीं साइंस और एय प्रशसी पीछ काए थैंक्यू,से नहीं साइंस और एयरप्रेशर से पिछकाए थैंक्यू,"नहीं, साइंस और एय प्रशंसा पीछे आए। थैंक्यू।"
नमस्कार आज मैं आप लोगों के लिएए चैलेंज लेकर आया हू चैलेंज ये है कि मेरे पास यापे तीन बौतले हैे,नमस्कार आज मैं आप लोगों के लिए चैलेंज लेकर आया चैलेंज ये है कि मेरे पास आपने थीन बौतले हैं इनमें,"नमस्कार, आज मैं आप लोगों के लिए चैलेंज लेकर आया हूँ। चैलेंज ये है कि मेरे पास यहाँ तीन बोतलें हैं।"
